,image_name,simple_segment_id,segment_id,start_point_x,start_point_y,end_point_x,end_point_y,seg_number,seg_length,avg_color,avg_red,avg_green,avg_blue,angle_left,angle_right,f_center_x,f_center_y
0,00373,a0,f186e5f3-ad52-4475-b238-82dade6249b4,827,1349,831,1379,0,31,88,8,248,8,0.37430440016091726,1.3385761420070605,1030,1031
1,00373,a1,f338214f-cee0-40b9-a5eb-8d4492b5d159,831,1379,861,1382,1,33,86,87,167,5,1.3385761420070605,0.3430460359618195,1030,1031
2,00373,a2,e4d65753-40fb-4182-8238-1033a96db8f4,861,1382,1155,1309,2,323,87,8,247,7,0.3430460359618195,0.6238051605447867,1030,1031
3,00373,a3,f390ef0a-fc0c-4193-89fb-29dfb344407c,1155,1309,1183,1276,3,51,87,23,232,7,0.6238051605447867,0.5246966123013586,1030,1031
4,00373,a4,c599d8c9-4879-4748-a717-bac3e7f85289,1183,1276,1200,1182,4,101,87,16,239,7,0.5246966123013586,0.3570101087092916,1030,1031
5,00373,a5,fbe0cd47-6784-4acf-9fe1-7d1a85542412,1200,1182,1191,1132,5,59,87,30,225,7,0.3570101087092916,0.46151419137924954,1030,1031
6,00373,a6,78bff693-6259-4b42-868a-2654e8f206f8,1191,1132,1221,1029,6,113,87,12,243,7,0.46151419137924954,0.28542660527330677,1030,1031
7,00373,a7,239ec7eb-7f7d-4535-9f25-be9340af570e,1221,1029,1260,968,7,84,87,14,241,7,0.28542660527330677,1.1949845766393685,1030,1031
8,00373,a8,e2c03ebe-d970-46a4-8f88-ae50b352e2b6,1260,968,1179,856,8,153,87,9,246,7,1.1949845766393685,0.318083937194233,1030,1031
9,00373,a9,90a4fa52-54bd-408e-9a7a-e6957472994c,1179,856,1144,746,9,132,87,11,244,7,0.318083937194233,0.5009630373786225,1030,1031
10,00373,a10,312c4c9e-6297-44d3-9807-21c8909b2a7f,1144,746,1079,684,10,102,87,11,244,7,0.5009630373786225,0.3150744494828177,1030,1031
11,00373,a11,cec4cdc3-955d-4c34-bb5c-f1bfabef3846,1079,684,1051,632,11,67,87,16,239,7,0.3150744494828177,0.42852296878805474,1030,1031
12,00373,a12,f2988e46-336a-4e5b-9df5-cc05b5152498,1051,632,1018,607,12,42,87,24,231,7,0.42852296878805474,0.9700825434839029,1030,1031
13,00373,a13,b06d7e3e-4b31-40f5-b0cd-dda2e9f7f431,1018,607,967,624,13,56,87,26,229,7,0.9700825434839029,0.8043233484373151,1030,1031
14,00373,a14,2a5b98e9-27d7-4f59-895b-8108cc274a05,967,624,906,752,14,155,87,10,245,7,0.8043233484373151,0.4582351149742676,1030,1031
15,00373,a15,c0ba1feb-b096-4fa1-8e10-1fbd0b65fd82,906,752,909,974,15,235,87,17,238,7,0.4582351149742676,0.48069385421199584,1030,1031
16,00373,a16,610d31ac-3fc9-408c-899a-cae5283e7dc2,909,974,852,1087,16,152,87,10,245,7,0.48069385421199584,0.3161658202773081,1030,1031
17,00373,a17,727c4684-26cd-4ede-9e6d-6984955fe9c2,852,1087,845,1133,17,51,87,42,213,6,0.3161658202773081,0.40270531467954607,1030,1031
18,00373,a18,69735f15-a98b-4650-8621-7221d8b684f4,845,1133,863,1203,18,74,87,20,235,7,0.40270531467954607,0.4885387327051074,1030,1031
19,00373,a19,de2d9f52-96f6-452a-8b5a-584306f24d3e,863,1203,828,1348,19,162,87,13,242,7,0.4885387327051074,0.37430440016091726,1030,1031
