,image_name,simple_segment_id,segment_id,start_point_x,start_point_y,end_point_x,end_point_y,seg_number,seg_length,avg_color,avg_red,avg_green,avg_blue,angle_left,angle_right,f_center_x,f_center_y
0,00370,f0,61f31910-954e-427b-b411-379a9988d756,603,968,603,1001,0,34,88,8,248,8,0.6797325812975923,0.5921866795496422,1031,1031
1,00370,f1,dcc10144-1699-49ea-b4e4-ad00ff86b7fb,603,1001,640,1056,1,73,87,16,239,7,0.5921866795496422,0.5781031037267819,1031,1031
2,00370,f2,0c3c6274-0f3d-4039-af5e-33510d77537f,640,1056,641,1127,2,72,87,39,216,6,0.5781031037267819,0.718031736014896,1031,1031
3,00370,f3,d3df60ce-e8e1-4df2-964d-4cf07c95b5a5,641,1127,712,1206,3,110,87,11,244,7,0.718031736014896,0.9261763557595319,1031,1031
4,00370,f4,48d9b722-3a8b-46bc-a08e-ca4cb3ab8b94,712,1206,769,1201,4,62,87,47,208,6,0.9261763557595319,0.5309436772221297,1031,1031
5,00370,f5,f06ff75e-f61a-4824-bc8f-75214b100be3,769,1201,849,1239,5,97,87,14,241,7,0.5309436772221297,0.3105699963483004,1031,1031
6,00370,f6,6ed3cd3d-d94c-4bf5-974d-dc31a6b126cb,849,1239,964,1347,6,182,87,9,246,7,0.3105699963483004,0.5202751518991375,1031,1031
7,00370,f7,6594805f-c45c-4f87-aacd-6abe7290d784,964,1347,1006,1357,7,45,86,50,204,6,0.5202751518991375,0.5603504155403254,1031,1031
8,00370,f8,5207b479-049d-41f4-87c3-3294344c43fe,1006,1357,1063,1415,8,91,87,13,242,7,0.5603504155403254,0.2509341963964786,1031,1031
9,00370,f9,75012ab0-5dca-46ad-af96-be1f7ce8b96a,1063,1415,1110,1496,9,103,87,12,243,7,0.2509341963964786,0.5379292884133688,1031,1031
10,00370,f10,7e818b0b-a367-4d10-86bb-56e144d5cf95,1110,1496,1155,1521,10,60,87,24,231,7,0.5379292884133688,0.33342730605076376,1031,1031
11,00370,f11,86fa2658-fafc-4d71-adfd-f59c84d1677b,1155,1521,1212,1531,11,63,87,40,215,6,0.33342730605076376,0.32489670729664377,1031,1031
12,00370,f12,8fd3e912-ee33-4135-b2e1-4233d5065b20,1212,1531,1302,1580,12,113,87,12,243,7,0.32489670729664377,1.051409127230757,1031,1031
13,00370,f13,26af78c7-f5f8-4e13-9e00-bb09660140b6,1302,1580,1349,1551,13,68,87,19,236,7,1.051409127230757,1.0790301310127632,1031,1031
14,00370,f14,7584ecd5-d737-4d2d-98ed-df569ca42df5,1349,1551,1332,1273,14,293,87,10,245,7,1.0790301310127632,0.28601629086157754,1031,1031
15,00370,f15,49b88250-e2d7-4fda-821d-dd176d5f37ff,1332,1273,1359,1155,15,128,87,12,243,7,0.28601629086157754,0.848964318027928,1031,1031
16,00370,f16,55accd9b-0253-455b-8e0f-1561fc2e5c9b,1359,1155,1323,1105,16,65,87,15,240,7,0.848964318027928,0.633826660456053,1031,1031
17,00370,f17,612d8b0a-99f4-492d-b9d7-9f4fcf9a0e93,1323,1105,1324,1003,17,103,87,27,228,7,0.633826660456053,0.31337434680296017,1031,1031
18,00370,f18,344b181a-f6f9-4497-a163-0969c6e78c7b,1324,1003,1272,837,18,191,87,9,246,7,0.31337434680296017,0.33623885172557966,1031,1031
19,00370,f19,e1d07eb3-d5db-4d36-99fa-7b60e1c5f188,1272,837,1277,684,19,158,87,19,236,7,0.33623885172557966,0.7772725929314985,1031,1031
20,00370,f20,8facc6ab-51e2-4767-9497-580bfbe50a0a,1277,684,1230,633,20,80,87,13,242,7,0.7772725929314985,0.6573599442541931,1031,1031
21,00370,f21,33282830-c0ec-4739-b346-537ac373b5c2,1230,633,1142,618,21,94,87,18,237,7,0.6573599442541931,0.2845911197319313,1031,1031
22,00370,f22,29c59426-6e4d-4b8a-8b96-4d2d22546a6b,1142,618,1056,628,22,94,87,27,228,7,0.2845911197319313,0.8138796681687976,1031,1031
23,00370,f23,21b969f0-f1d0-49db-9bd4-96d7cbefeb0e,1056,628,969,555,23,123,87,10,245,7,0.8138796681687976,0.29959800478156673,1031,1031
24,00370,f24,87aec023-980b-4758-b404-6494bfb45fd2,969,555,912,531,24,71,87,18,237,7,0.29959800478156673,1.400261270437159,1031,1031
25,00370,f25,2ce174ca-8faa-45d4-9451-1b4cfd8be58a,912,531,841,642,25,157,87,10,245,7,1.400261270437159,0.6706427480666068,1031,1031
26,00370,f26,06bb7e3b-ef94-44ca-a685-a6323795d6aa,841,642,809,653,26,40,87,52,203,6,0.6706427480666068,0.7596221948856923,1031,1031
27,00370,f27,68637162-157d-46ed-9baf-7f680a80f293,809,653,721,822,27,216,87,9,246,7,0.7596221948856923,0.198853977315689,1031,1031
28,00370,f28,e5c69b06-ed78-40af-8593-1b89105e5177,721,822,604,967,28,209,87,9,246,7,0.198853977315689,0.6797325812975923,1031,1031
