,image_name,simple_segment_id,segment_id,start_point_x,start_point_y,end_point_x,end_point_y,seg_number,seg_length,avg_color,avg_red,avg_green,avg_blue,angle_left,angle_right,f_center_x,f_center_y
0,00369,b0,72c55910-f943-4f0c-8073-03c4aa6dfd95,916,1218,919,1235,0,20,88,8,248,8,0.4697946662168393,1.6623761769375822,1035,1046
1,00369,b1,fddf05c2-cc0f-486c-9996-0194f82fc330,919,1235,952,1226,1,36,87,60,195,6,1.6623761769375822,0.38405167579716837,1035,1046
2,00369,b2,2ffde561-9397-4d06-ad19-33acdc31d2d1,952,1226,1069,1137,2,154,87,9,246,7,0.38405167579716837,0.1030193439606566,1035,1046
3,00369,b3,7416fb70-5e1c-486e-bd8e-709207468169,1069,1137,1133,1098,3,84,87,14,241,7,0.1030193439606566,0.5139633851091898,1035,1046
4,00369,b4,03587eea-aa57-4fb4-ad5d-95a6189bb1c9,1133,1098,1163,1097,4,31,86,87,167,5,0.5139633851091898,0.90963873710486,1035,1046
5,00369,b5,e4a0e70f-6f74-4908-a013-af4447438baa,1163,1097,1208,1035,5,82,87,13,242,7,0.90963873710486,1.2087596696186618,1035,1046
6,00369,b6,0cc6710f-79de-4edd-8925-6966f9e52011,1208,1035,1122,904,6,166,87,9,246,7,1.2087596696186618,0.8062509248187437,1035,1046
7,00369,b7,9117cec8-115b-4fc1-b1e0-ca973944ab7c,1122,904,1052,891,7,91,87,23,232,7,0.8062509248187437,0.28002528283152506,1035,1046
8,00369,b8,5ab277e7-ad9f-4d8d-bd29-36f0d9dd3418,1052,891,982,856,8,75,87,13,242,7,0.28002528283152506,1.8673421358645972,1035,1046
9,00369,b9,0ed76ddb-36c3-4e23-859b-4f6dedd628b4,982,856,968,939,9,88,87,19,236,7,1.8673421358645972,0.49694436289557853,1035,1046
10,00369,b10,dd3b5f79-51ad-4002-8520-cfa9db64f273,968,939,950,962,10,31,87,42,213,6,0.49694436289557853,0.6945710297438876,1035,1046
11,00369,b11,64b311f7-0ad8-4f87-b866-c9260a23f1cf,950,962,954,1093,11,137,87,23,232,7,0.6945710297438876,0.31830790863542235,1035,1046
12,00369,b12,f29f5364-03e5-4261-9f34-44fe7aae2211,954,1093,917,1218,12,135,87,14,241,7,0.31830790863542235,0.4697946662168393,1035,1046
